session_number,animal_id,weight_kg,gestation,breed,feeding,age,productive_state,sample_index,elapsed_time_min,timestamp_ms,pastando,rumiando,source_mode,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,methane,ref_temperature_c,ref_humidity_rh,fig_temperature_c,fig_humidity_rh
07,155,,no,,,,si,0,0.0,1778855652734,,,ble,-11218,-4435,-2598,-704,6764,-1849,287,26.5915,49.2363,28.7705,45.2079
07,155,,no,,,,si,1,0.0,1778855652823,,,ble,-10312,-327,2854,3496,803,1448,287,26.5354,49.2912,28.8853,45.2613
07,155,,no,,,,si,2,0.0,1778855652927,,,ble,-9034,905,955,1406,-2787,1562,287,26.5782,49.3233,28.8586,45.2842
07,155,,no,,,,si,3,0.0,1778855653107,,,ble,-8702,-1027,-1282,-1308,-5460,705,287,26.6476,49.1402,28.8987,45.2216
07,155,,no,,,,si,4,0.0,1778855653137,,,ble,-4315,-364,264,780,-4182,1221,286,26.5915,49.0928,28.8266,45.2033
07,155,,no,,,,si,5,0.0,1778855653227,,,ble,-7407,-1957,1139,-1526,3036,1028,286,26.5488,49.0883,28.7278,45.1926
07,155,,no,,,,si,6,0.0,1778855653332,,,ble,-8545,3168,445,343,405,220,284,26.4500,49.1524,28.8266,45.2674
07,155,,no,,,,si,7,0.0,1778855653422,,,ble,-8406,627,-341,-4085,1049,-2031,284,26.5915,49.0669,28.8132,45.1759
07,155,,no,,,,si,8,0.0,1778855653529,,,ble,-7690,-4628,-1887,-3005,8404,-3140,285,26.5221,49.0974,28.8132,45.1102
07,155,,no,,,,si,9,0.0,1778855653632,,,ble,-10365,1293,880,1693,5352,850,283,26.5621,49.0517,28.8399,45.1789
07,155,,no,,,,si,10,0.0,1778855653722,,,ble,-10384,-594,815,-3231,-2572,2127,283,26.5488,49.0242,28.8720,45.1942
07,155,,no,,,,si,11,0.0,1778855653828,,,ble,-8812,581,-1618,551,-5248,3442,283,26.5782,49.0532,28.8853,45.1576
07,155,,no,,,,si,12,0.0,1778855653940,,,ble,-6926,-2332,-1860,-5837,-6225,951,283,26.6049,49.0700,28.8586,45.2308
07,155,,no,,,,si,13,0.0,1778855654099,,,ble,-7185,-4293,313,6400,3100,-57,284,26.5354,48.9830,28.9281,45.2262
07,155,,no,,,,si,14,0.0,1778855654131,,,ble,-6855,3049,3272,1073,-2816,-689,282,26.4366,48.9830,28.8853,45.1713
07,155,,no,,,,si,15,0.0,1778855654238,,,ble,-3926,-2305,3237,-1328,-4530,-642,282,26.4794,48.8975,28.7999,45.1987
07,155,,no,,,,si,16,0.0,1778855654345,,,ble,-6750,-1670,3063,1596,-1255,572,283,26.5915,48.9250,28.8399,45.2155
07,155,,no,,,,si,17,0.0,1778855654434,si,,ble,-8625,512,2043,5506,2098,1096,283,26.4794,48.9097,28.7999,45.1743
07,155,,no,,,,si,18,0.0,1778855654542,si,,ble,-7059,2887,4298,1745,140,288,282,26.5354,48.8411,28.7999,45.2766
07,155,,no,,,,si,19,0.0,1778855654630,si,,ble,-8864,2742,3600,-976,2324,-2950,281,26.5915,48.9006,28.8399,45.2293
07,155,,no,,,,si,20,0.0,1778855654731,si,,ble,-10346,3671,4573,4922,-928,1103,282,26.5782,48.8090,28.8586,45.2064
07,155,,no,,,,si,21,0.0,1778855654836,si,,ble,-6163,-963,3040,3017,-2801,2667,281,26.5915,48.8731,28.7572,45.0507
07,155,,no,,,,si,22,0.0,1778855654942,si,,ble,-6678,9,2186,-947,-1308,1561,281,26.5915,48.7449,28.8266,45.0980
07,155,,no,,,,si,23,0.0,1778855655104,si,,ble,-7891,2234,3049,2218,-202,26,282,26.5221,48.7099,28.8266,45.1514
07,155,,no,,,,si,24,0.0,1778855655135,si,,ble,-7191,1565,673,-1481,3600,-2874,281,26.5621,48.4062,28.7999,45.1484
07,155,,no,,,,si,25,0.0,1778855655227,si,,ble,-9002,2016,2314,800,457,-372,281,26.4927,48.6030,28.7705,45.1576
07,155,,no,,,,si,26,0.0,1778855655328,si,,ble,-8405,2157,2191,1599,-255,2061,281,26.6182,48.4520,28.8132,45.1881
07,155,,no,,,,si,27,0.0,1778855655435,si,,ble,-9563,1311,1382,2196,-1190,2766,281,26.5488,48.4810,28.7705,45.1057
07,155,,no,,,,si,28,0.0,1778855655524,si,,ble,-4777,-2549,2453,-502,3381,-1023,280,26.5621,48.4199,28.7572,45.2445
07,155,,no,,,,si,29,0.0,1778855655630,si,,ble,-9241,2947,571,4499,427,-467,280,26.5915,48.2826,28.8266,45.0736
07,155,,no,,,,si,30,0.1,1778855655734,si,,ble,-6239,1212,1122,-1713,203,-299,281,26.5221,48.3116,28.7999,45.1209
07,155,,no,,,,si,31,0.1,1778855655837,si,,ble,-4446,-87,-2977,-6206,5493,-5563,280,26.5915,48.3207,28.8987,45.0050
07,155,,no,,,,si,32,0.1,1778855655929,si,,ble,-10563,3415,-1765,-929,4585,-3364,279,26.6476,48.3528,28.7999,45.0828
07,155,,no,,,,si,33,0.1,1778855656096,si,,ble,-8414,230,-1590,-9385,-103,-2579,280,26.6609,48.2918,28.8132,45.1240
07,155,,no,,,,si,34,0.1,1778855656139,si,,ble,-2544,-5183,-7807,-2451,5871,-5487,280,26.6049,48.2429,28.8266,45.0462
07,155,,no,,,,si,35,0.1,1778855656228,si,,ble,-13082,311,2142,4872,-3964,1117,278,26.5915,48.2689,28.7278,45.0095
07,155,,no,,,,si,36,0.1,1778855656334,si,,ble,-9117,-768,-2136,2474,-5790,4902,281,26.6182,48.2734,28.7278,44.9561
07,155,,no,,,,si,37,0.1,1778855656423,si,,ble,-5992,1973,-1327,-1207,-2829,1435,279,26.6609,48.3696,28.8987,45.0797
07,155,,no,,,,si,38,0.1,1778855656529,si,,ble,-7820,-5908,-2077,247,-4504,1854,280,26.5354,48.3787,28.8132,44.9287
07,155,,no,,,,si,39,0.1,1778855656633,si,,ble,-8171,2550,-1436,6260,-2089,1032,279,26.5221,48.4123,28.7144,44.9180
07,155,,no,,,,si,40,0.1,1778855656726,si,,ble,-12006,90,-542,-3033,-4587,1868,279,26.6342,48.3528,28.8399,44.9973
