session_number,animal_id,weight_kg,gestation,breed,feeding,age,productive_state,sample_index,elapsed_time_min,timestamp_ms,pastando,rumiando,source_mode,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,methane,ref_temperature_c,ref_humidity_rh,fig_temperature_c,fig_humidity_rh
08,155,,no,,,,si,0,0.0,1778860056209,,,ble,-9619,2475,3855,11743,2220,2418,656,20.7862,67.5288,21.6033,62.6535
08,155,,no,,,,si,1,0.0,1778860056317,,,ble,-7954,1649,-716,106,-63,2663,655,20.7996,67.6341,21.5873,62.7298
08,155,,no,,,,si,2,0.0,1778860056404,,,ble,-10091,-2082,-2698,-5241,-2552,2315,653,20.7569,67.6463,21.6594,62.6886
08,155,,no,,,,si,3,0.0,1778860056583,,,ble,-4661,-781,-2920,-3108,-4480,1046,653,20.7008,67.7195,21.6594,62.7543
08,155,,no,,,,si,4,0.0,1778860056614,,,ble,-8739,-1070,-422,1618,-1285,-1414,651,20.6741,67.7439,21.6728,62.7680
08,155,,no,,,,si,5,0.0,1778860056719,,,ble,-7571,3499,-2586,-404,-1219,696,651,20.7301,67.8584,21.6434,62.8489
08,155,,no,,,,si,6,0.0,1778860056808,,,ble,-11642,-4184,-2982,-4720,-4269,2715,650,20.7435,67.8935,21.6728,62.7680
08,155,,no,,,,si,7,0.0,1778860056913,,,ble,-5479,1218,-3576,721,3551,-4282,649,20.7435,67.8615,21.6728,62.8763
08,155,,no,,,,si,8,0.0,1778860057018,,,ble,-9473,3426,-1238,-3548,2582,-3419,648,20.7008,67.9667,21.6861,62.9328
08,155,,no,,,,si,9,0.0,1778860057109,,,ble,-8519,-4452,-3279,-3622,5044,-825,648,20.7729,67.9820,21.7876,62.9633
08,155,,no,,,,si,10,0.0,1778860057213,,,ble,-10185,-887,-1438,5666,2299,2421,648,20.7569,67.9988,21.6728,62.9740
08,155,,no,,,,si,11,0.0,1778860057304,,,ble,-9183,4951,-75,1705,-4114,2353,648,20.7569,67.9484,21.7315,62.8763
08,155,,no,,,,si,12,0.0,1778860057408,,,ble,-14058,-4016,-4061,-4204,-8553,2779,649,20.7729,68.0766,21.6995,63.0106
08,155,,no,,,,si,13,0.0,1778860057577,,,ble,-4033,-1298,-3520,149,3960,1359,648,20.7569,68.1239,21.6995,63.0335
08,155,,no,,,,si,14,0.0,1778860057606,,,ble,-13785,1711,-636,11910,-2667,2985,650,20.7569,68.1743,21.6594,63.0274
08,155,,no,,,,si,15,0.0,1778860057713,,,ble,-10174,1823,-1211,-1637,-1824,270,650,20.7301,68.2002,21.6594,63.1022
08,155,,no,,,,si,16,0.0,1778860057816,si,,ble,-4823,-540,-6709,-2942,-15469,3819,652,20.6447,68.3070,21.6861,63.1739
08,155,,no,,,,si,17,0.0,1778860057920,si,,ble,-3996,1376,-6473,-4496,9632,-2025,650,20.7008,68.2567,21.7742,63.1662
08,155,,no,,,,si,18,0.0,1778860058012,si,,ble,-6425,7207,-2792,12150,-6099,5734,649,20.7168,68.3238,21.7582,63.1434
08,155,,no,,,,si,19,0.0,1778860058116,si,,ble,-12308,-3108,-3236,-11891,-6671,-722,649,20.6607,68.4245,21.7582,63.1434
08,155,,no,,,,si,20,0.0,1778860058224,si,,ble,-2813,-1368,-940,4596,3354,-2515,647,20.6447,68.3574,21.6995,63.2105
08,155,,no,,,,si,21,0.0,1778860058313,si,,ble,-9435,2194,1180,8456,-619,117,642,20.7729,68.5405,21.6995,63.1205
