session_number,animal_id,weight_kg,gestation,breed,feeding,age,productive_state,sample_index,elapsed_time_min,timestamp_ms,pastando,rumiando,source_mode,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,methane,ref_temperature_c,ref_humidity_rh,fig_temperature_c,fig_humidity_rh
03,155,420,no,,,6,si,0,0.0,1778252279305,,,ble,-7175,3706,1903,-26,-196,-75,192,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,1,0.0,1778252279396,,,ble,-7193,3696,1898,-51,-9,-97,193,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,2,0.0,1778252279499,,,ble,-7212,3697,1864,-15,-116,-167,191,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,3,0.0,1778252279603,,,ble,-7210,3661,1877,-105,-105,-221,191,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,4,0.0,1778252279693,,,ble,-7185,3627,1877,-97,-228,-131,191,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,5,0.0,1778252279799,,,ble,-7496,3338,1959,-106,-256,-28,190,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,6,0.0,1778252279903,,,ble,-7053,3881,1668,-13,-115,-126,192,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,7,0.0,1778252279993,,,ble,-7243,3336,1797,-76,-99,-80,191,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,8,0.0,1778252280099,,,ble,-7277,3686,1777,-108,87,-102,191,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,9,0.0,1778252280204,,,ble,-7216,3755,1743,-123,169,-53,190,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,10,0.0,1778252280295,,,ble,-7227,3685,1718,51,129,-55,191,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,11,0.0,1778252280398,,,ble,-7317,3672,1641,-168,-64,-89,190,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,12,0.0,1778252280524,,,ble,-7230,3624,1664,-81,-179,58,190,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,13,0.0,1778252280602,,,ble,-7277,3619,1699,-17,-235,41,190,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,14,0.0,1778252280701,,,ble,-7268,3647,1719,-120,-244,-67,189,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,15,0.0,1778252280805,,,ble,-7235,3650,1701,-120,-176,-99,188,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,16,0.0,1778252280923,,,ble,-7216,3631,1745,-34,-244,-16,188,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,17,0.0,1778252281004,,,ble,-7214,3661,1752,-56,-220,10,187,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,18,0.0,1778252281116,,,ble,-7213,3682,1769,-174,-207,-59,187,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,19,0.0,1778252281203,,,ble,-7207,3687,1775,-54,-79,-146,188,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,20,0.0,1778252281303,,,ble,-7232,3670,1752,-21,-160,-147,187,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,21,0.0,1778252281411,,,ble,-7222,3647,1748,-68,-189,-159,186,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,22,0.0,1778252281526,,,ble,-7249,3633,1751,-57,-149,-65,187,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,23,0.0,1778252281604,,,ble,-7245,3647,1781,-27,-147,68,185,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,24,0.0,1778252281710,,,ble,-7203,3688,1786,-268,-220,91,186,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,25,0.0,1778252281800,,,ble,-7356,3924,1326,-490,2841,-1117,187,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,26,0.0,1778252281904,,,ble,-7470,3402,1493,-698,679,-688,186,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,27,0.0,1778252282009,,,ble,-7757,3363,1578,-918,279,-807,186,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,28,0.0,1778252282119,,,ble,-7764,2467,1182,-980,35,-842,186,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,29,0.0,1778252282204,,,ble,-7183,1745,1324,1011,-160,-200,184,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,30,0.1,1778252282310,,,ble,-7602,2155,1148,2381,-86,-259,185,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,31,0.1,1778252282400,,,ble,-7656,2560,1297,2211,-812,-751,185,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,32,0.1,1778252282503,,,ble,-7809,2669,1523,1503,-1202,-861,184,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,33,0.1,1778252282606,,,ble,-8431,1997,1173,617,-1104,-1664,184,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,34,0.1,1778252282702,,,ble,-8355,1062,1066,2190,-891,-1219,184,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,35,0.1,1778252282812,,,ble,-9026,1238,759,3999,-953,-1392,181,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,36,0.1,1778252282919,,,ble,-9248,1439,429,5770,-2062,-876,179,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,37,0.1,1778252283005,,,ble,-8687,2061,297,6043,-2414,-522,178,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,38,0.1,1778252283115,,,ble,-8424,2646,506,4965,-1607,-1322,178,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,39,0.1,1778252283211,,,ble,-9067,1845,916,3512,-1328,-1431,177,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,40,0.1,1778252283298,,,ble,-9190,1644,730,3492,-1473,-1695,176,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,41,0.1,1778252283408,,,ble,-8827,1768,1018,4161,-2245,-1618,175,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,42,0.1,1778252283509,,,ble,-8082,1918,1308,3579,-2385,-971,174,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,43,0.1,1778252283599,,,ble,-7565,2186,1479,3454,-2199,-978,174,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,44,0.1,1778252283705,,,ble,-6975,1847,1818,2196,-1403,-1016,173,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,45,0.1,1778252283816,,,ble,-6530,1421,1954,2317,-562,-914,173,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,46,0.1,1778252283897,,,ble,-6322,2030,2503,1832,317,-498,173,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,47,0.1,1778252284005,,,ble,-7205,1685,2742,1769,374,-291,172,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,48,0.1,1778252284111,,,ble,-7691,1306,2692,1722,-267,72,172,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,49,0.1,1778252284198,,,ble,-8384,457,2414,1720,-659,-216,171,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,50,0.1,1778252284302,,,ble,-7955,441,2167,3105,-1366,-1442,170,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,51,0.1,1778252284409,,,ble,-7929,425,2017,3959,-664,-2086,172,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,52,0.1,1778252284511,,,ble,-8214,507,1867,4881,-777,-1948,171,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,53,0.1,1778252284603,,,ble,-8189,831,1612,5748,-1218,-1785,170,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,54,0.1,1778252284717,,,ble,-7876,1341,1403,5465,-1590,-1749,170,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,55,0.1,1778252284800,,,ble,-7698,1381,1091,4933,-1443,-1980,169,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,56,0.1,1778252284902,,,ble,-8460,1287,1072,4349,-1058,-2564,169,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,57,0.1,1778252285015,,,ble,-7981,3061,1178,4186,-1102,-1572,169,NaN,NaN,NaN,NaN
03,155,420,no,,,6,si,58,0.1,1778252285102,,,ble,-8395,2354,1323,2200,-694,-927,169,NaN,NaN,NaN,NaN
