session_number,animal_id,weight_kg,gestation,breed,feeding,age,productive_state,sample_index,elapsed_time_min,timestamp_ms,pastando,rumiando,source_mode,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,methane,ref_temperature_c,ref_humidity_rh,fig_temperature_c,fig_humidity_rh
04,155,400,no,,,6,si,0,0.0,1778254948778,,,ble,-6899,-1552,4592,-188,-155,-19,159,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,1,0.0,1778254948867,,,ble,-6775,-1661,4681,-88,-118,29,158,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,2,0.0,1778254948972,,,ble,-6897,-1757,4764,-103,-265,6,158,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,3,0.0,1778254949077,,,ble,-6665,-1481,4673,-31,-178,-102,158,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,4,0.0,1778254949167,,,ble,-6728,-1700,4520,-171,-229,-31,157,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,5,0.0,1778254949286,,,ble,-6728,-1659,4732,-83,15,-1,156,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,6,0.0,1778254949376,,,ble,-6843,-1625,4694,-113,-152,-2,157,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,7,0.0,1778254949466,,,ble,-6834,-1678,4644,-98,-158,-126,158,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,8,0.0,1778254949571,,,ble,-6736,-1645,4615,-29,-135,-98,157,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,9,0.0,1778254949721,,,ble,-6743,-1554,4677,-125,-139,-103,157,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,10,0.0,1778254949781,,,ble,-6894,-1683,4589,-87,-188,-76,156,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,11,0.0,1778254949872,,,ble,-6814,-1655,4699,-114,-162,-72,158,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,12,0.0,1778254949976,,,ble,-6735,-1738,4590,-58,-203,-100,157,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,13,0.0,1778254950066,,,ble,-6802,-1686,4713,-151,-175,-103,157,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,14,0.0,1778254950171,,,ble,-6923,-1790,4641,-345,-176,-129,156,NaN,NaN,NaN,NaN
04,155,400,no,,,6,si,15,0.0,1778254950280,,,ble,-6774,-1604,4591,45,-266,-16,156,NaN,NaN,NaN,NaN
